[Fri Oct 23 12:52:04.148718 2015] [core:error] [pid 3132:tid 1792] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:54436] AH00127: Cannot map GET /help.files/images/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20sort_arrows%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/main.php%3C/b%3E%20on%20line%20%3Cb%3E19%3C/b%3E%3Cbr%20/%3E.png HTTP/1.1 to file, referer: http://study.ivan/records/main/1
[Fri Oct 23 12:52:04.171720 2015] [core:error] [pid 3132:tid 1792] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:54436] AH00127: Cannot map GET /help.files/images/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20sort_arrows%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/main.php%3C/b%3E%20on%20line%20%3Cb%3E25%3C/b%3E%3Cbr%20/%3E.png HTTP/1.1 to file, referer: http://study.ivan/records/main/1
[Fri Oct 23 12:52:13.864386 2015] [core:error] [pid 3132:tid 1792] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:54439] AH00127: Cannot map GET /help.files/images/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20sort_arrows%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/main.php%3C/b%3E%20on%20line%20%3Cb%3E19%3C/b%3E%3Cbr%20/%3E.png HTTP/1.1 to file, referer: http://study.ivan/records/main/1
[Fri Oct 23 12:52:13.873386 2015] [core:error] [pid 3132:tid 1792] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:54439] AH00127: Cannot map GET /help.files/images/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20sort_arrows%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/main.php%3C/b%3E%20on%20line%20%3Cb%3E25%3C/b%3E%3Cbr%20/%3E.png HTTP/1.1 to file, referer: http://study.ivan/records/main/1
[Fri Oct 23 19:00:44.745273 2015] [core:error] [pid 3132:tid 1748] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62446] AH00127: Cannot map GET /help.files/images/%3Cbr%20.png HTTP/1.1 to file, referer: http://study.ivan/records/main/3/last/true/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20generate_url_all%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/main.php%3C/b%3E%20on%20line%20%3Cb%3E9%3C/b%3E%3Cbr%20/%3E
[Fri Oct 23 19:01:42.561486 2015] [core:error] [pid 3132:tid 1748] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62482] AH00127: Cannot map GET /help.files/images/%3Cbr%20.png HTTP/1.1 to file, referer: http://study.ivan/records/main/3/last/true/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20generate_url_all%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/main.php%3C/b%3E%20on%20line%20%3Cb%3E9%3C/b%3E%3Cbr%20/%3E
[Fri Oct 23 19:01:43.641548 2015] [core:error] [pid 3132:tid 1740] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62484] AH00127: Cannot map GET /help.files/images/%3Cbr%20.png HTTP/1.1 to file, referer: http://study.ivan/records/main/3/first/false/%3Cbr%20
[Fri Oct 23 19:01:44.531598 2015] [core:error] [pid 3132:tid 1740] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62484] AH00127: Cannot map GET /help.files/images/%3Cbr%20.png HTTP/1.1 to file, referer: http://study.ivan/records/main/3/first/false/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20generate_url_all%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/main.php%3C/b%3E%20on%20line%20%3Cb%3E9%3C/b%3E%3Cbr%20/%3E
[Fri Oct 23 19:01:45.549657 2015] [core:error] [pid 3132:tid 1740] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:62484] AH00127: Cannot map GET /help.files/images/%3Cbr%20.png HTTP/1.1 to file, referer: http://study.ivan/records/main/3/first/false/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20generate_url_all%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/main.php%3C/b%3E%20on%20line%20%3Cb%3E9%3C/b%3E%3Cbr%20/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20generate_url_all%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/main.php%3C/b%3E%20on%20line%20%3Cb%3E9%3C/b%3E%3Cbr%20/%3E
[Mon Oct 26 10:48:56.241303 2015] [core:error] [pid 8212:tid 1748] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:49810] AH00127: Cannot map GET /help.files/images/%3Cbr%20.png HTTP/1.1 to file, referer: http://study.ivan/records/main/1/last/true/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20index:%20generate_url_all%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/main.php%3C/b%3E%20on%20line%20%3Cb%3E9%3C/b%3E%3Cbr%20/%3E
[Mon Oct 26 13:33:51.659283 2015] [core:error] [pid 8212:tid 1760] (20024)The given path is misformatted or contained invalid characters: [client 127.0.0.1:56454] AH00127: Cannot map GET /help.files/images/%3Cbr%20/%3E%3Cb%3ENotice%3C/b%3E:%20%20Undefined%20offset:%203%20in%20%3Cb%3EC:/xampp/htdocs/study.rezerv/views/records/event.php%3C/b%3E%20on%20line%20%3Cb%3E36%3C/b%3E%3Cbr%20/%3E.png HTTP/1.1 to file, referer: http://study.ivan/records/event/1/first/true
